X,Y,inci_no,descript,alm_date,alm_time,station,number,street,st_type,st_suffix,addr_2,apt_room,xst_prefix,xstreet,xst_type,xst_suffix,latitude,longitude,inci_type,clr_date,clr_time,alarms,complete,LastUpdateDate,StartDate,EndDate,OBJECTID
-93.3020907635418,44.9915049927853,22-0006564,"Cooking fire, confined to container               ",2022/02/14 00:00:00+00,00:34:19,04 ,1710    ,PLYMOUTH                 ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,44.991497,-93.302083,113 ,2022/02/14 00:00:00+00,01:08:44,1,1,2022/02/15 18:30:40+00,2022/02/14 00:34:19+00,2022/02/14 01:08:44+00,46
-93.2202607400564,44.9906799983608,22-0006577,Passenger vehicle fire                            ,2022/02/14 00:00:00+00,03:15:26,11 ,1089    ,23                       ,AVE ,SE,                                        ,               ,  ,                         ,    ,  ,44.990672,-93.220253,131 ,2022/02/14 00:00:00+00,05:29:48,1,1,2022/02/15 18:30:40+00,2022/02/14 03:15:26+00,2022/02/14 05:29:48+00,47
-93.2202607400564,44.9906799983608,22-0006577,Passenger vehicle fire                            ,2022/02/14 00:00:00+00,03:15:26,11 ,1089    ,23                       ,AVE ,SE,                                        ,               ,  ,                         ,    ,  ,44.990672,-93.220253,131 ,2022/02/14 00:00:00+00,05:29:48,1,1,2022/02/15 18:30:40+00,2022/02/14 03:15:26+00,2022/02/14 05:29:48+00,48
-93.2880747641,45.0244369985535,22-0006587,Building fire                                     ,2022/02/14 00:00:00+00,06:23:11,14 ,3828    ,Lyndale                  ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.024429,-93.288067,111 ,2022/02/14 00:00:00+00,06:39:00,1,1,2022/02/15 18:30:40+00,2022/02/14 06:23:11+00,2022/02/14 06:39:00+00,49
-93.265618750359,44.9714639924055,22-0006590,Passenger vehicle fire                            ,2022/02/14 00:00:00+00,06:49:15,01 ,608     ,9                        ,ST  ,S ,                                        ,               ,  ,                         ,    ,  ,44.971456,-93.265611,131 ,2022/02/14 00:00:00+00,08:37:03,1,1,2022/02/15 18:30:40+00,2022/02/14 06:49:15+00,2022/02/14 08:37:03+00,50
-93.2867827541028,44.9548129885065,22-0006695,"Cooking fire, confined to container               ",2022/02/14 00:00:00+00,20:40:25,08 ,2641    ,Garfield                 ,AVE ,  ,                                        ,306            ,  ,                         ,    ,  ,44.954805,-93.286775,113 ,2022/02/14 00:00:00+00,20:59:37,1,1,2022/02/15 18:30:40+00,2022/02/14 20:40:25+00,2022/02/14 20:59:37+00,51
-93.2796807515154,44.9507519884085,22-0013489,Passenger vehicle fire                            ,2022/04/05 00:00:00+00,04:51:06,08 ,        ,Blaisdell                ,AVE ,  ,                                        ,               ,W ,29                       ,ST  ,  ,44.950744,-93.279673,131 ,2022/04/05 00:00:00+00,05:31:57,1,1,2022/04/06 18:30:37+00,2022/04/05 04:51:06+00,2022/04/05 05:31:57+00,52
-93.2796807515154,44.9507519884085,22-0013492,Passenger vehicle fire                            ,2022/04/05 00:00:00+00,06:19:25,08 ,        ,29                       ,ST  ,W ,                                        ,               ,  ,Blaisdell                ,AVE ,  ,44.950744,-93.279673,131 ,2022/04/05 00:00:00+00,06:28:50,1,1,2022/04/06 18:30:37+00,2022/04/05 06:19:25+00,2022/04/05 06:28:50+00,53
-93.2880857643621,45.0263049988244,22-0013552,"Outside rubbish, trash or waste fire              ",2022/04/05 00:00:00+00,15:24:22,20 ,3931    ,Lyndale                  ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.026297,-93.288078,151 ,2022/04/05 00:00:00+00,15:40:23,1,1,2022/04/06 18:30:37+00,2022/04/05 15:24:22+00,2022/04/05 15:40:23+00,54
-93.2333087436832,44.9899459973463,22-0000106,Building fire                                     ,2022/01/01 00:00:00+00,11:08:45,11 ,1070    ,13                       ,AVE ,SE,                                        ,               ,  ,                         ,    ,  ,44.989938,-93.233301,111 ,2022/01/01 00:00:00+00,15:35:22,1,1,2022/01/06 18:30:41+00,2022/01/01 11:08:45+00,2022/01/01 15:35:22+00,55
